Question,Answer,FAQ_Category_Name,FAQ_Form_Name,Escalation_contact_Name,Target_User_Type
Where can I find out about general UMBC academic policies?,"Consult: 1) The Undergraduate catalog https://catalog.umbc.edu/, 2) The Office of Undergraduate Education https://uaa.umbc.edu/, 3) The Registrar’s Office https://registrar.umbc.edu/",General Information,NULL,NULL,Undergraduate Student
Where can I find the requirements for graduation?,"Consult: 1) The Registrar’s Office https://registrar.umbc.edu/, 2) The Undergraduate catalog https://catalog.umbc.edu/, 3) The Office of Undergraduate Education https://uaa.umbc.edu/",Undergraduate Graduation,NULL,NULL,Undergraduate Student
How do I add a class?,"For questions about registration, transfer courses, adding a class, dropping a class, wait lists, graduation, graduation requirements, or other general questions, please consult: The Office of the Registrar https://registrar.umbc.edu/",Undergraduate Registration,NULL,NULL,Undergraduate Student
How do I drop a class?,"For questions about registration, transfer courses, adding a class, dropping a class, wait lists, graduation, graduation requirements, or other general questions, please consult: The Office of the Registrar https://registrar.umbc.edu/",Undergraduate Registration,NULL,NULL,Undergraduate Student
How do I find out about wait lists?,"For questions about registration, transfer courses, adding a class, dropping a class, wait lists, graduation, graduation requirements, or other general questions, please consult: The Office of the Registrar https://registrar.umbc.edu/",Undergraduate Registration,NULL,NULL,Undergraduate Student
How do I register for classes?,"For questions about registration, transfer courses, adding a class, dropping a class, wait lists, graduation, graduation requirements, or other general questions, please consult: The Office of the Registrar https://registrar.umbc.edu/",Undergraduate Registration,NULL,NULL,Undergraduate Student
How do I find out about graduation?,"For questions about registration, transfer courses, adding a class, dropping a class, wait lists, graduation, graduation requirements, or other general questions, please consult: The Office of the Registrar https://registrar.umbc.edu/",Undergraduate Graduation,NULL,NULL,Undergraduate Student
How can I determine my progress toward graduation?,"You can use the Degree Audit function from myUMBC > Topics>Advising and Student Support. Instructions: https://registrar.umbc.edu/rt/degree-audit/
Note that Degree Audit fills in all the courses you are currently enrolled in, assuming you will pass them, and uses these classes in calculating credits taken and progress towards graduation.",Undergraduate Graduation,NULL,NULL,Undergraduate Student
How can I see how my courses transferred in?,"You can use the Degree Audit function from myUMBC > Topics>Advising and Student Support. Instructions: https://registrar.umbc.edu/rt/degree-audit/
Note that Degree Audit fills in all the courses you are currently enrolled in, assuming you will pass them, and uses these classes in calculating credits taken and progress towards graduation.",Undergraduate Registration,NULL,NULL,Undergraduate Student
How can I see an unofficial transcript?,"You can use the Degree Audit function from myUMBC > Topics>Advising and Student Support. Instructions: https://registrar.umbc.edu/rt/degree-audit/
Note that Degree Audit fills in all the courses you are currently enrolled in, assuming you will pass them, and uses these classes in calculating credits taken and progress towards graduation.",Undergraduate Registration,NULL,NULL,Undergraduate Student
Why can’t I register for my classes?,"1) Have you been advised, and did your adviser clear you to register? All students must interact with their academic adviser each semester. Then, in order for the student to register, the adviser has to give ‘advising clearance’ in the SA system before the student can register.
2) Is it too soon for you to be registering? Students may register for classes for the next semester only after a certain date called their ‘registration appointment’. These dates can be found on the Registrar’s web site here: https://registrar.umbc.edu/calendars/registration-appointments/
Registration dates are based on earned credits (not total credits), and students with more earned credits go first.
3) Did you apply to graduate but not actually graduate? If you apply to graduate, you are automatically locked out of the registration system for future semesters. If you applied but did not graduate, you need to contact the Registrar’s Office and have them reactivate your account.
4) Do you have a financial hold? You cannot register for classes if you have unpaid bills: this must be taken care of first.",Undergraduate Registration,NULL,NULL,Undergraduate Student
Why can’t I register for a specific course?,"The course might require departmental consent, or you do not have all the prerequisites for the course. Sometimes a course you transferred in, thinking it qualifies as a prerequisite, may not have been deemed equivalent.",Undergraduate Registration,NULL,NULL,Undergraduate Student
How do I get permission to enroll in a closed class?,"If a class is closed, then it has reached its capacity. You should select a different class for your schedule. Exceptions may be made for students graduating in the semester. See our wait list policy for more information: https://www.csee.umbc.edu/wp-content/uploads/sites/659/2022/06/wait_list_policy.pdf",Undergraduate Academic Advising,NULL,NULL,Undergraduate Student
How do I find out whether a class is an AH or SS?,"Go to the ‘Class Schedule’ link under ‘Academics’ on the UMBC home page, use the form to find the class you want, then click on it, the information is listed in the ‘Class Attributes’ box.",Undergraduate Academic Advising,NULL,NULL,Undergraduate Student
How do I find out what SS or AH classes are offered each semester?,Go to the ‘Class Schedule’ link under ‘Academics’ on the UMBC home page. At the bottom of the form you can search for classes by Gen Ed type. Note that you have to fill in any two pieces of information in the top panel to make the search work.,Undergraduate Academic Advising,NULL,NULL,Undergraduate Student
